HUMIDITY,       PH,     RAIN,TEMPARATURE,        N,        P,        K
4,0,1023,31.36,0,0,30
5,0.01,1023,31.36,0,0,30
8,0,1023,31.36,0,0,28
5,0.01,1023,31.85,0,0,29
6,0.01,1023,31.36,0,0,31
5,0,1023,31.36,0,0,30
7,0,1023,31.85,0,0,29
2,0,1023,31.85,0,0,29
1,0,1023,32.34,0,0,29
4,0,1023,31.36,0,0,31
0,0.01,1023,31.36,0,0,30
5,0,1023,31.36,0,0,29
5,0,1023,30.87,0,0,30
0,0,1023,31.36,0,0,30
2,0.04,1023,31.36,0,0,30
0,0,1023,30.87,0,0,30
5,0,1023,31.36,0,0,29
4,0.01,1023,31.36,0,0,31
4,0,1023,31.36,0,0,30
4,0.02,1023,31.36,0,0,29
5,0,1023,31.36,0,0,29
13,0.01,1023,31.36,0,0,30
3,0,1023,31.85,0,0,30
5,0,1023,31.36,0,0,31
5,0,1023,31.85,0,0,30
9,0,1023,31.36,0,0,30
2,0.05,1023,31.36,0,0,29
5,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,29
5,0.02,1023,31.36,0,0,29
2,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,30
3,0,1023,31.36,0,0,29
7,0,1023,31.36,0,0,30
1,0,1023,30.38,0,0,29
6,0.01,1023,31.36,0,0,30
3,0,1023,31.85,0,0,29
3,0,1023,31.36,0,0,30
4,0,1023,31.85,0,0,30
6,0,1023,31.36,0,0,30
9,0,1023,31.36,0,0,28
5,0,1023,31.85,0,0,29
6,0.02,1023,31.36,0,0,29
4,0,1023,31.36,0,0,29
2,0,1023,31.36,0,0,29
0,0,1023,31.36,0,0,32
5,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,28
0,0,1023,31.36,0,0,31
7,0.01,1023,31.85,0,0,30
6,0,1023,31.85,0,0,29
7,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,28
11,0,1023,30.87,0,0,31
4,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,27
10,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,34
5,0,1023,31.36,0,0,30
0,0.01,1023,31.85,0,0,33
7,0,1023,31.85,0,0,30
4,0,1023,31.36,0,0,29
8,0,1023,31.36,0,0,28
6,0,1023,31.36,0,0,30
1,0,1023,31.36,0,0,30
5,0.02,1023,31.85,0,0,30
5,0,1023,31.36,0,0,30
8,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,30
1,0,1023,31.36,0,0,30
6,0,1023,30.87,0,0,28
4,0,1023,31.85,0,0,30
5,0,1023,31.36,0,0,30
4,0,1023,31.85,0,0,29
3,0.01,1023,31.36,0,0,30
6,0,1023,31.36,0,0,29
6,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,28
6,0,1023,31.36,0,0,28
10,0,1023,31.36,0,0,30
1,0,1023,31.36,0,0,26
5,0.02,1023,31.36,0,0,29
4,0,1023,31.36,0,0,28
5,0,1023,31.36,0,0,29
3,0,1023,30.87,0,0,31
5,0,1023,31.36,0,0,30
6,0,1023,31.36,0,0,29
6,0,1023,31.36,0,0,28
3,0,1023,31.36,0,0,29
5,0,1023,30.87,0,0,30
6,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,30
4,0,1023,31.85,0,0,29
4,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,30
7,0,1023,31.36,0,0,28
6,0.01,1023,31.36,0,0,29
4,0.01,1023,31.36,0,0,30
